Entity,Code,Year,production|Chromium|Mine|tonnes
USSR,OWID_USS,1970,1750000
USSR,OWID_USS,1971,1800000
USSR,OWID_USS,1972,1850000
USSR,OWID_USS,1973,1900000
USSR,OWID_USS,1974,1950000
USSR,OWID_USS,1975,2080000
USSR,OWID_USS,1976,2100000
USSR,OWID_USS,1977,2180000
USSR,OWID_USS,1978,2300000
USSR,OWID_USS,1979,2400000
USSR,OWID_USS,1980,2450000
USSR,OWID_USS,1981,2900000
USSR,OWID_USS,1982,2940000
USSR,OWID_USS,1983,2940000
USSR,OWID_USS,1984,2940000
USSR,OWID_USS,1985,3360000
USSR,OWID_USS,1986,3640000
USSR,OWID_USS,1987,3570000
USSR,OWID_USS,1988,3700000
USSR,OWID_USS,1989,3800000
USSR,OWID_USS,1990,3800000
USSR,OWID_USS,1991,3800000
United Arab Emirates,ARE,1992,100
United Arab Emirates,ARE,1993,19000
United Arab Emirates,ARE,1994,55000
United Arab Emirates,ARE,1995,37000
United Arab Emirates,ARE,1996,56000
United Arab Emirates,ARE,1997,61000
United Arab Emirates,ARE,1998,76886
United Arab Emirates,ARE,1999,60000
United Arab Emirates,ARE,2000,30000
United Arab Emirates,ARE,2001,10000
United Arab Emirates,ARE,2002,0
United Arab Emirates,ARE,2003,0
United Arab Emirates,ARE,2004,7089
United Arab Emirates,ARE,2005,0
United Arab Emirates,ARE,2006,0
United Arab Emirates,ARE,2007,23000
United Arab Emirates,ARE,2008,31000
United States,USA,2020,0
United States,USA,2021,0
United States,USA,2022,0
United States,USA,2023,0
Vietnam,VNM,1976,13500
Vietnam,VNM,1977,12700
Vietnam,VNM,1978,12700
Vietnam,VNM,1979,13500
Vietnam,VNM,1980,15500
Vietnam,VNM,1981,15000
Vietnam,VNM,1982,16000
Vietnam,VNM,1983,16000
Vietnam,VNM,1984,16000
Vietnam,VNM,1985,4000
Vietnam,VNM,1986,4000
Vietnam,VNM,1987,4000
Vietnam,VNM,1988,2600
Vietnam,VNM,1989,4000
Vietnam,VNM,1990,4600
Vietnam,VNM,1991,3500
Vietnam,VNM,1992,3500
Vietnam,VNM,1993,6900
Vietnam,VNM,1994,6300
Vietnam,VNM,1995,25000
Vietnam,VNM,1996,37000
Vietnam,VNM,1997,51000
Vietnam,VNM,1998,59000
Vietnam,VNM,1999,58500
Vietnam,VNM,2000,76300
Vietnam,VNM,2001,70300
Vietnam,VNM,2002,66300
Vietnam,VNM,2003,91000
Vietnam,VNM,2004,82000
Vietnam,VNM,2005,5700
Vietnam,VNM,2006,3400
Vietnam,VNM,2007,103800
Vietnam,VNM,2008,55100
Vietnam,VNM,2009,37100
Vietnam,VNM,2010,58600
Vietnam,VNM,2011,24900
Vietnam,VNM,2012,1800
Vietnam,VNM,2013,24800
World,OWID_WRL,2020,37000000
World,OWID_WRL,2021,42200000
World,OWID_WRL,2022,41900000
World,OWID_WRL,2023,41000000
Yugoslavia,OWID_YGS,1970,40565
Yugoslavia,OWID_YGS,1971,34319
Yugoslavia,OWID_YGS,1972,28137
Yugoslavia,OWID_YGS,1973,6100
Yugoslavia,OWID_YGS,1974,400
Yugoslavia,OWID_YGS,1975,1700
Yugoslavia,OWID_YGS,1976,2020
Yugoslavia,OWID_YGS,1977,1546
Yugoslavia,OWID_YGS,1978,1907
Yugoslavia,OWID_YGS,1979,168
Zimbabwe,ZWE,1970,400000
Zimbabwe,ZWE,1971,400000
Zimbabwe,ZWE,1972,400000
Zimbabwe,ZWE,1973,550000
Zimbabwe,ZWE,1974,590000
Zimbabwe,ZWE,1975,875668
Zimbabwe,ZWE,1976,863868
Zimbabwe,ZWE,1977,677322
Zimbabwe,ZWE,1978,477765
Zimbabwe,ZWE,1979,541742
Zimbabwe,ZWE,1980,552475
Zimbabwe,ZWE,1981,536052
Zimbabwe,ZWE,1982,431600
Zimbabwe,ZWE,1983,431400
Zimbabwe,ZWE,1984,476400
Zimbabwe,ZWE,1985,526500
Zimbabwe,ZWE,1986,553106
Zimbabwe,ZWE,1987,570298
Zimbabwe,ZWE,1988,561630
Zimbabwe,ZWE,1989,627500
Zimbabwe,ZWE,1990,562600
Zimbabwe,ZWE,1991,566200
Zimbabwe,ZWE,1992,522013
Zimbabwe,ZWE,1993,252033
Zimbabwe,ZWE,1994,516801
Zimbabwe,ZWE,1995,707433
Zimbabwe,ZWE,1996,658416
Zimbabwe,ZWE,1997,669757
Zimbabwe,ZWE,1998,605405
Zimbabwe,ZWE,1999,653479
Zimbabwe,ZWE,2000,668043
Zimbabwe,ZWE,2001,780150
Zimbabwe,ZWE,2002,725822
Zimbabwe,ZWE,2003,572558
Zimbabwe,ZWE,2004,668391
Zimbabwe,ZWE,2005,667199
Zimbabwe,ZWE,2006,700001
Zimbabwe,ZWE,2007,614559
Zimbabwe,ZWE,2008,442584
Zimbabwe,ZWE,2009,193674
Zimbabwe,ZWE,2010,516776
Zimbabwe,ZWE,2011,599079
Zimbabwe,ZWE,2012,408476
Zimbabwe,ZWE,2013,355142
Zimbabwe,ZWE,2014,408422
Zimbabwe,ZWE,2015,208328
Zimbabwe,ZWE,2016,112026
Zimbabwe,ZWE,2017,688838
Zimbabwe,ZWE,2018,894660
Zimbabwe,ZWE,2019,1550064
Zimbabwe,ZWE,2020,1272139
Zimbabwe,ZWE,2021,1244300
Zimbabwe,ZWE,2022,1154158
