Entity,Code,Year,production|Fluorspar|Mine|tonnes
Russia,RUS,2018,6000
Russia,RUS,2019,4000
Russia,RUS,2020,32000
Russia,RUS,2021,32000
Russia,RUS,2022,32000
South Africa,ZAF,1970,172994
South Africa,ZAF,1971,239041
South Africa,ZAF,1974,207933
South Africa,ZAF,1976,290718
South Africa,ZAF,1977,350679
South Africa,ZAF,1978,393276
South Africa,ZAF,1979,451112
South Africa,ZAF,1980,522718
South Africa,ZAF,1981,496521
South Africa,ZAF,1982,330835
South Africa,ZAF,1983,267602
South Africa,ZAF,1984,319206
South Africa,ZAF,1985,349207
South Africa,ZAF,1986,333885
South Africa,ZAF,1987,316606
South Africa,ZAF,1988,328421
South Africa,ZAF,1989,368340
South Africa,ZAF,1990,311032
South Africa,ZAF,1991,270341
South Africa,ZAF,1992,259790
South Africa,ZAF,1993,217778
South Africa,ZAF,1994,174258
South Africa,ZAF,1995,195794
South Africa,ZAF,1996,201928
South Africa,ZAF,1997,206990
South Africa,ZAF,1998,236640
South Africa,ZAF,1999,217540
South Africa,ZAF,2000,212709
South Africa,ZAF,2001,286387
South Africa,ZAF,2002,227000
South Africa,ZAF,2003,235000
South Africa,ZAF,2004,264900
South Africa,ZAF,2005,265600
South Africa,ZAF,2006,256000
South Africa,ZAF,2007,285000
South Africa,ZAF,2008,299000
South Africa,ZAF,2009,204000
South Africa,ZAF,2010,157000
South Africa,ZAF,2011,195502
South Africa,ZAF,2012,170338
South Africa,ZAF,2013,157776
South Africa,ZAF,2014,180000
South Africa,ZAF,2015,135000
South Africa,ZAF,2016,165000
South Africa,ZAF,2017,257000
South Africa,ZAF,2018,242000
South Africa,ZAF,2019,210000
South Africa,ZAF,2020,330000
South Africa,ZAF,2021,403000
South Africa,ZAF,2022,406000
South Africa,ZAF,2023,410000
South Korea,KOR,1970,29978
South Korea,KOR,1971,50815
South Korea,KOR,1974,32981
South Korea,KOR,1976,20270
South Korea,KOR,1977,12981
South Korea,KOR,1978,11368
South Korea,KOR,1979,8450
South Korea,KOR,1980,6912
South Korea,KOR,1981,6464
South Korea,KOR,1982,3667
South Korea,KOR,1983,6361
South Korea,KOR,1984,4672
South Korea,KOR,1985,705
South Korea,KOR,1986,243
South Korea,KOR,1987,63
South Korea,KOR,1988,261
South Korea,KOR,1989,856
South Korea,KOR,1990,560
South Korea,KOR,1991,290
South Korea,KOR,1994,50
Spain,ESP,1970,341665
Spain,ESP,1971,346389
Spain,ESP,1974,360574
Spain,ESP,1976,293469
Spain,ESP,1977,310461
Spain,ESP,1978,301295
Spain,ESP,1979,192898
Spain,ESP,1980,244749
Spain,ESP,1981,302760
Spain,ESP,1982,241603
Spain,ESP,1983,232334
Spain,ESP,1984,295666
Spain,ESP,1985,305609
Spain,ESP,1986,282460
Spain,ESP,1987,151427
Spain,ESP,1988,142575
Spain,ESP,1989,172325
Spain,ESP,1990,153691
Spain,ESP,1991,112000
Spain,ESP,1992,101087
Spain,ESP,1993,92505
Spain,ESP,1994,113588
Spain,ESP,1995,118411
Spain,ESP,1996,116526
Spain,ESP,1997,124987
Spain,ESP,1998,135568
Spain,ESP,1999,148238
Spain,ESP,2000,140466
Spain,ESP,2001,134039
Spain,ESP,2002,141434
Spain,ESP,2003,139266
Spain,ESP,2004,145694
Spain,ESP,2005,156982
Spain,ESP,2006,157511
Spain,ESP,2007,155197
Spain,ESP,2008,148736
Spain,ESP,2009,122533
Spain,ESP,2010,132341
Spain,ESP,2011,117063
Spain,ESP,2012,113570
Spain,ESP,2013,128512
Spain,ESP,2014,135293
Spain,ESP,2015,157486
Spain,ESP,2016,162989
Spain,ESP,2017,154931
Spain,ESP,2018,176188
Spain,ESP,2019,145185
Spain,ESP,2020,131000
Spain,ESP,2021,155000
Spain,ESP,2022,153000
Spain,ESP,2023,150000
Sweden,SWE,1970,0
Sweden,SWE,1971,0
Sweden,SWE,1974,4074
Sweden,SWE,1976,3324
Sweden,SWE,1977,2414
Sweden,SWE,1981,0
Sweden,SWE,1982,2854
Sweden,SWE,1983,2042
Sweden,SWE,1984,3454
Sweden,SWE,1985,3169
Sweden,SWE,1986,265
Sweden,SWE,1987,220
Tajikistan,TJK,1992,10000
Tajikistan,TJK,1993,10000
Tajikistan,TJK,1994,10000
Tajikistan,TJK,1995,5000
Tajikistan,TJK,1996,3000
Tajikistan,TJK,1997,3000
Thailand,THA,1970,317850
Thailand,THA,1971,427498
Thailand,THA,1974,428691
Thailand,THA,1976,200364
Thailand,THA,1977,248141
Thailand,THA,1978,230531
Thailand,THA,1979,234304
Thailand,THA,1980,232892
Thailand,THA,1981,212492
Thailand,THA,1982,257108
Thailand,THA,1983,206648
Thailand,THA,1984,287379
Thailand,THA,1985,298899
Thailand,THA,1986,167909
Thailand,THA,1987,102398
Thailand,THA,1988,76321
Thailand,THA,1989,98375
Thailand,THA,1990,94757
Thailand,THA,1991,62067
Thailand,THA,1992,56459
Thailand,THA,1993,48387
Thailand,THA,1994,23705
Thailand,THA,1995,24114
Thailand,THA,1996,17247
Thailand,THA,1997,7826
Thailand,THA,1998,3743
Thailand,THA,1999,23005
Thailand,THA,2000,4745
Thailand,THA,2001,3020
Thailand,THA,2002,2270
Thailand,THA,2003,2360
Thailand,THA,2004,2375
Thailand,THA,2005,295
Thailand,THA,2006,3240
Thailand,THA,2007,1820
Thailand,THA,2008,29529
Thailand,THA,2009,119840
Thailand,THA,2010,30487
Thailand,THA,2011,5093
Thailand,THA,2012,9602
Thailand,THA,2013,2432
Thailand,THA,2014,4590
Thailand,THA,2015,15095
Thailand,THA,2016,31948
Thailand,THA,2017,5500
Thailand,THA,2018,16700
Thailand,THA,2019,17747
Thailand,THA,2020,9807
Thailand,THA,2021,9766
Thailand,THA,2022,59243
Tunisia,TUN,1970,30700
Tunisia,TUN,1971,32959
Tunisia,TUN,1974,28318
Tunisia,TUN,1976,34538
Tunisia,TUN,1977,28887
Tunisia,TUN,1978,33100
Tunisia,TUN,1979,36800
Tunisia,TUN,1980,39451
Tunisia,TUN,1981,34800
Tunisia,TUN,1982,36900
Tunisia,TUN,1983,38600
Tunisia,TUN,1984,44500
Tunisia,TUN,1985,42200
Tunisia,TUN,1986,36300
Tunisia,TUN,1987,43300
Tunisia,TUN,1988,56000
Tunisia,TUN,1989,53700
Tunisia,TUN,1990,40974
Tunisia,TUN,1991,37580
Tunisia,TUN,1992,13750
Tunisia,TUN,1993,1399
Tunisia,TUN,1994,400
Tunisia,TUN,1995,1856
Tunisia,TUN,1996,720
Tunisia,TUN,1997,1426
Tunisia,TUN,1998,1188
Tunisia,TUN,1999,520
Turkey,TUR,1970,1665
Turkey,TUR,1974,2000
Turkey,TUR,1976,1282
Turkey,TUR,1977,1711
Turkey,TUR,1978,1337
Turkey,TUR,1979,2024
Turkey,TUR,1980,1945
Turkey,TUR,1981,1986
Turkey,TUR,1982,2000
Turkey,TUR,1983,2000
Turkey,TUR,1984,2258
Turkey,TUR,1985,9804
Turkey,TUR,1986,1604
Turkey,TUR,1987,10000
Turkey,TUR,1988,13240
Turkey,TUR,1989,13000
Turkey,TUR,1990,10000
Turkey,TUR,1991,5000
Turkey,TUR,1992,3074
Turkey,TUR,1993,4000
Turkey,TUR,1994,6671
Turkey,TUR,1995,8873
Turkey,TUR,1996,4828
Turkey,TUR,1997,3903
Turkey,TUR,1998,5034
Turkey,TUR,1999,4812
Turkey,TUR,2000,4113
Turkey,TUR,2001,3752
Turkey,TUR,2002,718
Turkey,TUR,2003,718
Turkey,TUR,2004,880
Turkey,TUR,2009,3756
Turkey,TUR,2010,25189
Turkey,TUR,2011,4524
Turkey,TUR,2012,5197
Turkey,TUR,2013,3874
Turkey,TUR,2014,4271
Turkey,TUR,2015,6238
Turkey,TUR,2016,10339
Turkey,TUR,2017,20150
Turkey,TUR,2018,6200
Turkey,TUR,2019,14400
Turkey,TUR,2020,19896
Turkey,TUR,2021,10348
Turkey,TUR,2022,17252
USSR,OWID_USS,1970,408000
USSR,OWID_USS,1971,420000
USSR,OWID_USS,1974,450000
USSR,OWID_USS,1976,490000
USSR,OWID_USS,1977,500000
USSR,OWID_USS,1978,510000
USSR,OWID_USS,1979,520000
USSR,OWID_USS,1980,520000
USSR,OWID_USS,1981,530000
USSR,OWID_USS,1982,540000
USSR,OWID_USS,1983,540000
USSR,OWID_USS,1984,550000
USSR,OWID_USS,1985,410500
USSR,OWID_USS,1986,410500
USSR,OWID_USS,1987,410500
USSR,OWID_USS,1988,410500
USSR,OWID_USS,1989,410000
USSR,OWID_USS,1990,380000
USSR,OWID_USS,1991,350000
United Kingdom,GBR,1970,199000
United Kingdom,GBR,1971,228000
United Kingdom,GBR,1974,227000
United Kingdom,GBR,1976,217000
United Kingdom,GBR,1977,206000
United Kingdom,GBR,1978,189269
United Kingdom,GBR,1979,154000
United Kingdom,GBR,1980,186300
United Kingdom,GBR,1981,185000
United Kingdom,GBR,1982,201000
United Kingdom,GBR,1983,131300
United Kingdom,GBR,1984,137000
United Kingdom,GBR,1985,167390
United Kingdom,GBR,1986,133420
United Kingdom,GBR,1987,120000
United Kingdom,GBR,1988,103797
United Kingdom,GBR,1989,122057
United Kingdom,GBR,1990,118498
United Kingdom,GBR,1991,77903
United Kingdom,GBR,1992,76129
United Kingdom,GBR,1993,70285
United Kingdom,GBR,1994,58000
United Kingdom,GBR,1995,55000
United Kingdom,GBR,1996,65000
United Kingdom,GBR,1997,64000
United Kingdom,GBR,1998,65000
United Kingdom,GBR,1999,40000
United Kingdom,GBR,2000,36000
United Kingdom,GBR,2001,50000
United Kingdom,GBR,2002,53000
United Kingdom,GBR,2003,56000
United Kingdom,GBR,2004,50080
United Kingdom,GBR,2005,56417
United Kingdom,GBR,2006,49676
United Kingdom,GBR,2007,44936
United Kingdom,GBR,2008,36801
United Kingdom,GBR,2009,18536
United Kingdom,GBR,2010,26420
United Kingdom,GBR,2011,0
United Kingdom,GBR,2012,0
United Kingdom,GBR,2013,16000
United Kingdom,GBR,2014,25000
United Kingdom,GBR,2015,12000
United Kingdom,GBR,2016,12000
United Kingdom,GBR,2017,11000
United Kingdom,GBR,2018,11000
United Kingdom,GBR,2019,14000
United Kingdom,GBR,2020,15000
United Kingdom,GBR,2021,15000
United Kingdom,GBR,2022,13000
United States,USA,1900,16700
United States,USA,1901,17700
United States,USA,1902,43500
United States,USA,1903,38600
United States,USA,1904,33000
United States,USA,1905,52000
United States,USA,1906,37000
United States,USA,1907,44800
United States,USA,1908,35100
United States,USA,1909,46000
United States,USA,1910,63000
United States,USA,1911,78900
United States,USA,1912,106000
United States,USA,1913,105000
United States,USA,1914,86300
United States,USA,1915,124000
United States,USA,1916,141000
United States,USA,1917,198000
United States,USA,1918,239000
United States,USA,1919,125000
United States,USA,1920,169000
United States,USA,1921,31700
United States,USA,1922,128000
United States,USA,1923,110000
United States,USA,1924,113000
United States,USA,1925,103000
United States,USA,1926,117000
United States,USA,1927,102000
United States,USA,1928,127000
United States,USA,1929,133000
United States,USA,1930,86900
United States,USA,1931,48400
United States,USA,1932,22900
United States,USA,1933,66100
United States,USA,1934,77700
United States,USA,1935,112000
United States,USA,1936,160000
United States,USA,1937,164000
United States,USA,1938,72900
United States,USA,1939,166000
United States,USA,1940,212000
United States,USA,1941,291000
United States,USA,1942,327000
United States,USA,1943,368000
United States,USA,1944,375000
United States,USA,1945,294000
United States,USA,1946,252000
United States,USA,1947,299000
United States,USA,1948,301000
United States,USA,1949,215000
United States,USA,1950,273000
United States,USA,1951,315000
United States,USA,1952,301000
United States,USA,1953,288000
United States,USA,1954,223000
United States,USA,1955,254000
United States,USA,1956,299000
United States,USA,1957,298000
United States,USA,1958,290000
United States,USA,1959,168000
United States,USA,1960,208000
United States,USA,1961,179000
United States,USA,1962,187000
United States,USA,1963,181000
United States,USA,1964,197000
United States,USA,1965,219000
United States,USA,1966,230000
United States,USA,1967,268000
United States,USA,1968,229000
United States,USA,1969,166000
United States,USA,1970,244000
United States,USA,1971,247000
United States,USA,1974,182000
United States,USA,1976,171000
United States,USA,1977,154000
United States,USA,1978,117000
United States,USA,1979,99200
United States,USA,1980,84000
United States,USA,1981,105000
United States,USA,1982,69900
United States,USA,1983,55300
United States,USA,1984,65300
United States,USA,1985,59900
United States,USA,1986,70800
United States,USA,1987,63500
United States,USA,1988,63500
United States,USA,1989,66000
United States,USA,1990,63500
United States,USA,1991,58000
United States,USA,1992,51000
United States,USA,1993,60000
United States,USA,1994,49000
United States,USA,1995,51000
United States,USA,1996,8200
United States,USA,1997,0
United States,USA,1998,0
United States,USA,1999,0
United States,USA,2000,0
United States,USA,2001,0
United States,USA,2002,0
United States,USA,2003,0
United States,USA,2004,0
United States,USA,2005,0
United States,USA,2006,0
United States,USA,2007,0
Uzbekistan,UZB,1992,50000
Uzbekistan,UZB,1993,40000
Uzbekistan,UZB,1994,20000
Uzbekistan,UZB,1995,5000
Uzbekistan,UZB,1996,3000
Vietnam,VNM,1997,2000
Vietnam,VNM,1998,3000
Vietnam,VNM,1999,3000
Vietnam,VNM,2000,3000
Vietnam,VNM,2001,3000
Vietnam,VNM,2002,3000
Vietnam,VNM,2003,3000
Vietnam,VNM,2004,4000
Vietnam,VNM,2005,4000
Vietnam,VNM,2006,4000
Vietnam,VNM,2007,4000
Vietnam,VNM,2008,4000
Vietnam,VNM,2009,4000
Vietnam,VNM,2010,4000
Vietnam,VNM,2011,4000
Vietnam,VNM,2012,4000
Vietnam,VNM,2013,4000
Vietnam,VNM,2014,90940
Vietnam,VNM,2015,193164
Vietnam,VNM,2016,217900
Vietnam,VNM,2017,234905
Vietnam,VNM,2018,238702
Vietnam,VNM,2019,238003
Vietnam,VNM,2020,220000
Vietnam,VNM,2021,215000
Vietnam,VNM,2022,218000
Vietnam,VNM,2023,170000
West Germany,OWID_GFR,1970,75114
West Germany,OWID_GFR,1971,84687
West Germany,OWID_GFR,1974,74118
West Germany,OWID_GFR,1976,64210
West Germany,OWID_GFR,1977,83750
West Germany,OWID_GFR,1978,75722
West Germany,OWID_GFR,1979,63172
West Germany,OWID_GFR,1980,78152
West Germany,OWID_GFR,1981,71808
West Germany,OWID_GFR,1982,78600
West Germany,OWID_GFR,1983,80700
West Germany,OWID_GFR,1984,83300
West Germany,OWID_GFR,1985,83100
West Germany,OWID_GFR,1986,88800
West Germany,OWID_GFR,1987,85200
West Germany,OWID_GFR,1988,77700
West Germany,OWID_GFR,1989,73800
West Germany,OWID_GFR,1990,85400
World,OWID_WRL,1913,171000
World,OWID_WRL,1914,121000
World,OWID_WRL,1915,163000
World,OWID_WRL,1916,201000
World,OWID_WRL,1917,279000
World,OWID_WRL,1918,313000
World,OWID_WRL,1919,196000
World,OWID_WRL,1920,264000
World,OWID_WRL,1921,92500
World,OWID_WRL,1922,208000
World,OWID_WRL,1923,215000
World,OWID_WRL,1924,255000
World,OWID_WRL,1925,263000
World,OWID_WRL,1926,310000
World,OWID_WRL,1927,317000
World,OWID_WRL,1928,345000
World,OWID_WRL,1929,376000
World,OWID_WRL,1930,291000
World,OWID_WRL,1931,166000
World,OWID_WRL,1932,128000
World,OWID_WRL,1933,229000
World,OWID_WRL,1934,286000
World,OWID_WRL,1935,340000
World,OWID_WRL,1936,455000
World,OWID_WRL,1937,519000
World,OWID_WRL,1938,456000
World,OWID_WRL,1939,577000
World,OWID_WRL,1940,616000
World,OWID_WRL,1941,698000
World,OWID_WRL,1942,883000
World,OWID_WRL,1943,1040000
World,OWID_WRL,1944,1040000
World,OWID_WRL,1945,674000
World,OWID_WRL,1946,524000
World,OWID_WRL,1947,655000
World,OWID_WRL,1948,795000
World,OWID_WRL,1949,710000
World,OWID_WRL,1950,844000
World,OWID_WRL,1951,1030000
World,OWID_WRL,1952,1180000
World,OWID_WRL,1953,1210000
World,OWID_WRL,1954,1220000
World,OWID_WRL,1955,1410000
World,OWID_WRL,1956,1700000
World,OWID_WRL,1957,1830000
World,OWID_WRL,1958,1840000
World,OWID_WRL,1959,1720000
World,OWID_WRL,1960,2020000
World,OWID_WRL,1961,2060000
World,OWID_WRL,1962,2150000
World,OWID_WRL,1963,2150000
World,OWID_WRL,1964,2460000
World,OWID_WRL,1965,2770000
World,OWID_WRL,1966,2840000
World,OWID_WRL,1967,3170000
World,OWID_WRL,1968,3640000
World,OWID_WRL,1969,3890000
World,OWID_WRL,1970,4190000
World,OWID_WRL,1971,4760000
World,OWID_WRL,1972,4530000
World,OWID_WRL,1973,4580000
World,OWID_WRL,1974,4860000
World,OWID_WRL,1975,4520000
World,OWID_WRL,1976,4320000
World,OWID_WRL,1977,4380000
World,OWID_WRL,1978,4670000
World,OWID_WRL,1979,4610000
World,OWID_WRL,1980,5010000
World,OWID_WRL,1981,5100000
World,OWID_WRL,1982,4530000
World,OWID_WRL,1983,4230000
World,OWID_WRL,1984,4830000
World,OWID_WRL,1985,4980000
World,OWID_WRL,1986,4850000
World,OWID_WRL,1987,4600000
World,OWID_WRL,1988,5280000
World,OWID_WRL,1989,5560000
World,OWID_WRL,1990,5120000
World,OWID_WRL,1991,4300000
World,OWID_WRL,1992,4120000
World,OWID_WRL,1993,4180000
World,OWID_WRL,1994,3750000
World,OWID_WRL,1995,4040000
World,OWID_WRL,1996,4180000
World,OWID_WRL,1997,4180000
World,OWID_WRL,1998,4430000
World,OWID_WRL,1999,4300000
World,OWID_WRL,2000,4450000
World,OWID_WRL,2001,4590000
World,OWID_WRL,2002,4450000
World,OWID_WRL,2003,4850000
World,OWID_WRL,2004,5220000
World,OWID_WRL,2005,5360000
World,OWID_WRL,2006,5660000
World,OWID_WRL,2007,5720000
World,OWID_WRL,2008,6920000
World,OWID_WRL,2009,6290000
World,OWID_WRL,2010,7000000
World,OWID_WRL,2011,9080000
World,OWID_WRL,2012,7930000
World,OWID_WRL,2013,7100000
World,OWID_WRL,2014,6730000
World,OWID_WRL,2015,6140000
World,OWID_WRL,2016,5640000
World,OWID_WRL,2017,6710000
World,OWID_WRL,2018,7890000
World,OWID_WRL,2019,8580000
World,OWID_WRL,2020,8240000
World,OWID_WRL,2021,8680000
World,OWID_WRL,2022,8320000
World,OWID_WRL,2023,8800000
Zimbabwe,ZWE,1970,150
Zimbabwe,ZWE,1971,150
Zimbabwe,ZWE,1974,180
Zimbabwe,ZWE,1976,690
Zimbabwe,ZWE,1977,522
